codvar,meaning_of_drug_record,count_n
B01AC24,dispensing_in_hospital_pharmacy_for_home_use,20
B01AB05,dispensing_in_hospital_pharmacy_for_home_use,49
B01AC06,dispensing_in_hospital_pharmacy_for_home_use,2
B01AB01,dispensing_in_hospital_pharmacy_for_home_use,1
B01AB12,dispensing_in_hospital_pharmacy_for_home_use,3
B01AB07,dispensing_in_hospital_pharmacy_for_home_use,26
C01CA24,dispensing_in_hospital_pharmacy_for_home_use,8
C01EB18,dispensing_in_hospital_pharmacy_for_home_use,4
B01AF02,dispensing_in_hospital_pharmacy_for_home_use,11
B01AC04,dispensing_in_hospital_pharmacy_for_home_use,1
B01AB06,dispensing_in_hospital_pharmacy_for_home_use,2
B01AC06,dispensing_in_community_pharmacy,89
C01BC04,dispensing_in_community_pharmacy,9
B01AC30,dispensing_in_community_pharmacy,1
C01DA02,dispensing_in_community_pharmacy,1
C01DA14,dispensing_in_community_pharmacy,3
B01AB05,dispensing_in_community_pharmacy,2
