ord_alg,N_00,N_,N_pop,N_01,N_10,N_11,ord_algA,ord_algB,PROP_,PROP_10,PROP_11,PROP_01
1: Narrow HOSP,662,0,662,0,0,0,-,-,0,0,0,0
2: Narrow PC,662,0,662,0,0,0,-,-,0,0,0,0
3: Possible HOSP,662,0,662,0,0,0,-,-,0,0,0,0
4: Possible PC,662,0,662,0,0,0,-,-,0,0,0,0
5: 1 OR 3,662,0,662,0,0,0,1,3,0,0,0,0
6: 1 OR 2,662,0,662,0,0,0,1,2,0,0,0,0
7: 3 OR 4,662,0,662,0,0,0,3,4,0,0,0,0
8: 5 OR 2,662,0,662,0,0,0,5,2,0,0,0,0
9: 5 OR 4,662,0,662,0,0,0,5,4,0,0,0,0
10: 2 OR 4,662,0,662,0,0,0,2,4,0,0,0,0
11: 5 OR 10,662,0,662,0,0,0,5,10,0,0,0,0
12: 6 OR 7,662,0,662,0,0,0,6,7,0,0,0,0
